%time,field.header.seq,field.header.stamp,field.stamp_sonde,field.temp_c,field.spcond_u,field.sal,field.ph,field.orp,field.depth_m,field.turbidity_ntu,field.turbidity_fnu,field.odo_percsat,field.odo_m,field.latitude,field.longitude
9.12095129885007E+017,2002,9.12095129882928E+017,1.531414004E+018,24.5869998932,74.9899978638,0.0299999993,10.2600002289,125.080001831,-0.0970000029,0.7799999714,0.7799999714,109.269996643,9.1000003815,45.5437202454,-73.1535720825
9.12095130888253E+017,2003,9.12095130886517E+017,1.531414005E+018,24.5860004425,74.9899978638,0.0299999993,10.2600002289,125.089996338,-0.0970000029,0.7699999809,0.7699999809,109.269996643,9.1000003815,45.5436973572,-73.1535644531
9.12095131892281E+017,2004,9.12095131890064E+017,1.531414006E+018,24.5860004425,74.9899978638,0.0299999993,10.2600002289,125.11000061,-0.0970000029,0.7599999905,0.7599999905,109.269996643,9.1000003815,45.5436897278,-73.1535491943
9.12095132896928E+017,2005,9.12095132893877E+017,1.531414007E+018,24.5849990845,75,0.0299999993,10.2600002289,125.120002747,-0.0970000029,0.7699999809,0.7699999809,109.269996643,9.1000003815,45.5436897278,-73.1535491943
9.12095133900107E+017,2006,9.12095133898375E+017,1.531414008E+018,24.5849990845,75.0199966431,0.0299999993,10.2600002289,125.129997253,-0.0970000029,0.75,0.75,109.269996643,9.1000003815,45.5436706543,-73.1535415649
9.12095134902982E+017,2007,9.1209513490125E+017,1.531414009E+018,24.5849990845,75.0299987793,0.0299999993,10.2600002289,125.150001526,-0.0970000029,0.7699999809,0.7699999809,109.269996643,9.1000003815,45.5436630249,-73.1535491943
9.12095135907065E+017,2008,9.12095135905207E+017,1.53141401E+018,24.5839996338,75.0299987793,0.0299999993,10.2600002289,125.160003662,-0.0970000029,0.7699999809,0.7699999809,109.260002136,9.1000003815,45.5436630249,-73.1535491943
9.1209513691095E+017,2009,9.12095136908969E+017,1.531414011E+018,24.5830001831,75.0400009155,0.0299999993,10.2600002289,125.169998169,-0.0970000029,0.7799999714,0.7799999714,109.260002136,9.1000003815,45.5436477661,-73.1535339355
9.1209513791505E+017,2010,9.1209513791267E+017,1.531414012E+018,24.5830001831,75.0500030518,0.0299999993,10.2600002289,125.190002441,-0.0970000029,0.7799999714,0.7799999714,109.260002136,9.1000003815,45.5436439514,-73.1535415649
9.12095138919047E+017,2011,9.12095138916579E+017,1.531414013E+018,24.5820007324,75.0599975586,0.0299999993,10.2600002289,125.199996948,-0.0970000029,0.7900000215,0.7900000215,109.260002136,9.1000003815,45.5436401367,-73.1535263062
9.12095139923654E+017,2012,9.12095139920864E+017,1.531414014E+018,24.5809993744,75.0500030518,0.0299999993,10.2600002289,125.220001221,-0.0970000029,0.7799999714,0.7799999714,109.260002136,9.1000003815,45.5436325073,-73.1535110474
9.12095140930484E+017,2013,9.12095140925395E+017,1.531414015E+018,24.5799999237,75.0500030518,0.0299999993,10.2600002289,125.239997864,-0.0970000029,0.7799999714,0.7799999714,109.260002136,9.1000003815,45.5436325073,-73.1535110474
9.12095141932139E+017,2014,9.12095141929833E+017,1.531414016E+018,24.579000473,75.0400009155,0.0299999993,10.2600002289,125.269996643,-0.0970000029,0.7699999809,0.7699999809,109.260002136,9.1000003815,45.543636322,-73.153503418
9.12095142937108E+017,2015,9.12095142933962E+017,1.531414017E+018,24.577999115,75.0400009155,0.0299999993,10.2600002289,125.290000916,-0.0970000029,0.7900000215,0.7900000215,109.25,9.1000003815,45.543636322,-73.153503418
9.12095143940504E+017,2016,9.12095143938385E+017,1.531414018E+018,24.5769996643,75.0400009155,0.0299999993,10.2600002289,125.300003052,-0.0970000029,0.7900000215,0.7900000215,109.260002136,9.1000003815,45.5436439514,-73.1534957886
9.12095144943984E+017,2017,9.12095144941755E+017,1.531414019E+018,24.5769996643,75.0500030518,0.0299999993,10.2600002289,125.330001831,-0.0970000029,0.7900000215,0.7900000215,109.260002136,9.1000003815,45.5436439514,-73.1534957886
9.1209514594867E+017,2018,9.12095145946477E+017,1.53141402E+018,24.5769996643,75.0699996948,0.0299999993,10.2600002289,125.36000061,-0.0970000029,0.7900000215,0.7900000215,109.260002136,9.1000003815,45.5436553955,-73.1534957886
9.12095146952103E+017,2019,9.12095146950135E+017,1.531414021E+018,24.5769996643,75.0599975586,0.0299999993,10.2600002289,125.38999939,-0.0970000029,0.7799999714,0.7799999714,109.25,9.1000003815,45.5436553955,-73.1534957886
9.12095147955528E+017,2020,9.12095147953194E+017,1.531414022E+018,24.5760002136,75.0599975586,0.0299999993,10.2600002289,125.410003662,-0.0970000029,0.7799999714,0.7799999714,109.25,9.1000003815,45.5436630249,-73.153503418
9.12095148960387E+017,2021,9.12095148957435E+017,1.531414023E+018,24.5769996643,75.0599975586,0.0299999993,10.2600002289,125.440002441,-0.0970000029,0.7900000215,0.7900000215,109.260002136,9.1000003815,45.5436706543,-73.153503418
9.1209514996312E+017,2022,9.12095149961187E+017,1.531414024E+018,24.5769996643,75.0500030518,0.0299999993,10.2600002289,125.470001221,-0.0970000029,0.7900000215,0.7900000215,109.269996643,9.1000003815,45.5436706543,-73.1535186768
9.12095150966123E+017,2023,9.12095150963923E+017,1.531414025E+018,24.577999115,75.0500030518,0.0299999993,10.2600002289,125.5,-0.0970000029,0.7799999714,0.7799999714,109.269996643,9.1000003815,45.5436782837,-73.1535186768
9.12095151969124E+017,2024,9.12095151967058E+017,1.531414026E+018,24.579000473,75.0500030518,0.0299999993,10.2600002289,125.529998779,-0.0970000029,0.7799999714,0.7799999714,109.269996643,9.1000003815,45.5436782837,-73.1535263062
9.12095152973592E+017,2025,9.12095152970768E+017,1.531414027E+018,24.579000473,75.0599975586,0.0299999993,10.2600002289,125.569999695,-0.0970000029,0.7799999714,0.7799999714,109.269996643,9.1000003815,45.5436859131,-73.1535263062
9.12095153976685E+017,2026,9.12095153975178E+017,1.531414028E+018,24.579000473,75.0599975586,0.0299999993,10.2600002289,125.599998474,-0.0970000029,0.7799999714,0.7799999714,109.269996643,9.1000003815,45.5436935425,-73.1535339355
9.12095154980982E+017,2027,9.12095154979012E+017,1.531414029E+018,24.5799999237,75.0599975586,0.0299999993,10.2600002289,125.629997253,-0.0970000029,0.7699999809,0.7699999809,109.269996643,9.1000003815,45.5437011719,-73.1535339355
9.12095155984922E+017,2028,9.120951559829E+017,1.53141403E+018,24.5820007324,75.0800018311,0.0299999993,10.2600002289,125.650001526,-0.0970000029,0.7799999714,0.7799999714,109.279998779,9.1000003815,45.5437049866,-73.1535339355
9.12095156988585E+017,2029,9.12095156986445E+017,1.531414031E+018,24.5830001831,75.0899963379,0.0299999993,10.2600002289,125.669998169,-0.0970000029,0.7900000215,0.7900000215,109.279998779,9.1000003815,45.543712616,-73.1535263062
9.12095157992582E+017,2030,9.12095157990001E+017,1.531414032E+018,24.5839996338,75.1299972534,0.0299999993,10.2600002289,125.680000305,-0.0970000029,0.7900000215,0.7900000215,109.290000916,9.1000003815,45.5437202454,-73.1535415649
9.12095158995969E+017,2031,9.12095158994218E+017,1.531414033E+018,24.5839996338,75.0999984741,0.0299999993,10.2600002289,125.699996948,-0.0970000029,0.7900000215,0.7900000215,109.300003052,9.1000003815,45.5437316895,-73.1535339355
9.1209515999967E+017,2032,9.1209515999766E+017,1.531414034E+018,24.5860004425,75.1100006104,0.0299999993,10.2600002289,125.699996948,-0.0970000029,0.7699999809,0.7699999809,109.309997559,9.1000003815,45.5437316895,-73.1535339355
9.1209516100307E+017,2033,9.12095161001221E+017,1.531414035E+018,24.5869998932,75.0400009155,0.0299999993,10.2600002289,125.699996948,-0.0970000029,0.7900000215,0.7900000215,109.309997559,9.1000003815,45.5437469482,-73.1535339355
9.12095162006192E+017,2034,9.12095162004496E+017,1.531414036E+018,24.5879993439,74.9700012207,0.0299999993,10.2600002289,125.699996948,-0.0970000029,0.8000000119,0.8000000119,109.319999695,9.1000003815,45.5437469482,-73.1535339355
